geo,ds,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
Ireland,2014-05-01,0.298211,,0.0,0.0009935719920111108,-0.2529821994879785
Ireland,2014-06-01,0.397219,,0.0,0.3320065322875414,-0.4325442857142857
Ireland,2014-07-01,0.298211,,0.0,-0.24925293100279688,-0.5744104832160937
Ireland,2014-08-01,0.397219,,0.0,0.3320065322875414,0.9960252254968469
Ireland,2014-09-01,0.198807,,0.0,-0.49950279316951096,-0.0019879218686464917
Ireland,2014-10-01,0.199203,,0.0,0.0019918815735864293,0.998004032055847
Ireland,2014-11-01,0.0998,2067.56005859375,0.1009137268584841,-0.49900352906331735,-0.6676656676656677
Ireland,2014-12-01,-0.299401,2058.89990234375,-0.004188587515997044,-4.000010020040079,-2.4970049999999997
Ireland,2015-01-01,104.714273,1994.989990234375,-0.031040805838410623,-350.7459026522958,-0.0028987979959872456
Ireland,2015-02-01,-0.499002,2104.5,0.0548925108906233,-1.0047653675635986,4.004984904865548
Ireland,2015-03-01,-0.594648,2071.260009765625,-0.015794720947671648,0.1916745824666033,-3.994048638034338
Ireland,2015-04-01,-0.693069,,0.0,0.16551136134318134,-3.3263984693620667
Ireland,2015-05-01,-0.198216,,0.0,-0.7140025019153937,-1.6646837306470923
Ireland,2015-06-01,-0.197824,,0.0,-0.0019776405537393904,-1.4980225014412705
Ireland,2015-07-01,-0.198216,,0.0,0.0019815593659009423,-1.6646837306470923
Ireland,2015-08-01,0.0,,0.0,-1.0,-1.0
Ireland,2015-09-01,-0.198413,,0.0,-inf,-1.998018178434361
Ireland,2015-10-01,-0.198807,,0.0,0.001985756981649489,-1.9980120781313535
Ireland,2015-11-01,-0.199402,2080.409912109375,0.00441755371156205,0.0029928523643532046,-2.998016032064128
Ireland,2015-12-01,0.1001,2043.93994140625,-0.017530185032692547,-1.5020009829389875,-1.3343342206605857
Ireland,2016-01-01,104.722971,1940.239990234375,-0.0507353220469523,1045.1835264735266,8.306413014014247e-05
Ireland,2016-02-01,-0.100301,1932.22998046875,-0.0041283603090035426,-1.0009577745841454,-0.7989967976080257
Ireland,2016-03-01,-0.299103,2022.18994140625,0.04655758468030613,1.9820540174076031,-0.49700831416232794
Ireland,2016-04-01,-0.099701,,0.0,-0.6666666666666667,-0.8561456362930675
Ireland,2016-05-01,0.0,,0.0,-1.0,-1.0
Ireland,2016-06-01,0.49554,,0.0,inf,-3.5049538984147524
Ireland,2016-07-01,0.496524,,0.0,0.0019857125559996636,-3.504964281389999
Ireland,2016-08-01,-0.098912,,0.0,-1.1992089002747097,-inf
Ireland,2016-09-01,0.0,,0.0,-1.0,-1.0
Ireland,2016-10-01,-0.298805,,0.0,-inf,0.5029903373623663
Ireland,2016-11-01,-0.0999,2198.81005859375,0.08734101261757665,-0.6656682451766202,-0.4990020160279235
Ireland,2016-12-01,0.0,2238.830078125,0.01820076244186586,-1.0,-1.0
Ireland,2017-01-01,105.079586,2278.8701171875,0.01788435819838252,inf,0.003405317826592258
Ireland,2017-02-01,0.502008,2363.639892578125,0.03719816006681631,-0.9952225925214437,-6.005014905135542
Ireland,2017-03-01,0.7,2372.60009765625,0.0037908503347994227,0.3944000892416055,-3.3403309227924827
Ireland,2017-04-01,0.898204,,0.0,0.2831485714285715,-10.008976840753855
Ireland,2017-05-01,0.19861,,0.0,-0.778880966907295,inf
Ireland,2017-06-01,-0.394477,,0.0,-2.9861890136448315,-1.7960548088953465
Ireland,2017-07-01,-0.197628,,0.0,-0.4990126167051565,-1.3980230562873093
Ireland,2017-08-01,0.39604,,0.0,-3.0039670492035544,-5.003963118731802
Ireland,2017-09-01,0.198807,,0.0,-0.498012826987173,inf
Ireland,2017-10-01,0.599401,,0.0,2.014989411841635,-3.0059938756044913
Ireland,2017-11-01,0.5,2647.580078125,0.11589815778073453,-0.16583389083434952,-6.005005005005005
Ireland,2017-12-01,0.4,2673.610107421875,0.009831630594270502,-0.19999999999999996,inf
Ireland,2018-01-01,105.592763,2823.81005859375,0.05617870412552817,262.9819075,0.004883698342701859
Ireland,2018-02-01,0.499501,2713.830078125,-0.0389473718793677,-0.9952695527059937,-0.004993944319612531
Ireland,2018-03-01,0.19861,2786.570068359375,0.026803443156113715,-0.6023831784120552,-0.7162714285714286
Ireland,2018-04-01,-0.395648,,0.0,-2.9920849906852625,-1.4404879069788155
Ireland,2018-05-01,0.396432,,0.0,-2.001981559365901,0.9960324253562256
Ireland,2018-06-01,0.39604,,0.0,-0.0009888202768696397,-2.0039622081895776
Ireland,2018-07-01,0.792079,,0.0,0.9999974750025249,-5.007929038395369
Ireland,2018-08-01,0.690335,,0.0,-0.12845183371860625,0.7430941319058681
Ireland,2018-09-01,0.892857,,0.0,0.2933677127771299,3.4910742579486636
